Date,Open,High,Low,Close,Volume,Adj Close
2016-10-31,113.65,114.23,113.2,113.54,26419400,113.54
2016-10-28,113.87,115.21,113.45,113.72,37861700,113.72
2016-10-27,115.39,115.86,114.1,114.48,34562000,114.48
2016-10-26,114.31,115.7,113.31,115.59,66134200,115.59
2016-10-25,117.95,118.36,117.31,118.25,48129000,118.25
2016-10-24,117.1,117.74,117.0,117.65,23538700,117.65
2016-10-21,116.81,116.91,116.28,116.6,23192700,116.6
2016-10-20,116.86,117.38,116.33,117.06,24125800,117.06
2016-10-19,117.25,117.76,113.8,117.12,20034600,117.12
2016-10-18,118.18,118.21,117.45,117.47,24553500,117.47
2016-10-17,117.33,117.84,116.78,117.55,23624900,117.55
2016-10-14,117.88,118.17,117.13,117.63,35652200,117.63
2016-10-13,116.79,117.44,115.72,116.98,35192400,116.98
2016-10-12,117.35,117.98,116.75,117.34,37586800,117.34
2016-10-11,117.7,118.69,116.2,116.3,64041000,116.3
2016-10-10,115.02,116.75,114.72,116.05,36236000,116.05
2016-10-07,114.31,114.56,113.51,114.06,24358400,114.06
2016-10-06,113.7,114.34,113.13,113.89,28779300,113.89
2016-10-05,113.4,113.66,112.69,113.05,21453100,113.05
2016-10-04,113.06,114.31,112.63,113.0,29736800,113.0
2016-10-03,112.71,113.05,112.28,112.52,21701800,112.52
